C1 BodySize,C1 WicksUp,C1 WicksDown,C1 CandleType,C2 BodySize,C2 WicksUp,C2 WicksDown,C2 CandleType,C3 BodySize,C3 WicksUp,C3 WicksDown,C3 CandleType,P0ICTION OUTPUT
0.321,0.01,0.12,1,0.12,0.051,0.249,1,0.169,0.111,0.061,1,0
0.12,0.051,0.249,1,0.169,0.111,0.061,1,0.01,0.094,0.197,0,1
0.169,0.111,0.061,1,0.01,0.094,0.197,0,0.303,0.1,0.167,1,0
0.01,0.094,0.197,0,0.303,0.1,0.167,1,0.53,0.011,0.099,0,0
0.303,0.1,0.167,1,0.53,0.011,0.099,0,0.341,0.26,0.06,0,1
0.53,0.011,0.099,0,0.341,0.26,0.06,0,0.34,0.02,0.049,1,1
0.341,0.26,0.06,0,0.34,0.02,0.049,1,0.4,0.09,0.021,1,0
0.34,0.02,0.049,1,0.4,0.09,0.021,1,0.079,0.111,0.041,0,0
0.4,0.09,0.021,1,0.079,0.111,0.041,0,0.13,0.051,0.053,0,0
0.079,0.111,0.041,0,0.13,0.051,0.053,0,0.261,0.019,0.03,0,0
0.13,0.051,0.053,0,0.261,0.019,0.03,0,1.42,0.001,0.48,0,1
0.261,0.019,0.03,0,1.42,0.001,0.48,0,0.66,0.449,0.011,1,1
1.42,0.001,0.48,0,0.66,0.449,0.011,1,0.501,0,0.16,1,0
0.66,0.449,0.011,1,0.501,0,0.16,1,0.49,0.231,0.029,0,0
0.501,0,0.16,1,0.49,0.231,0.029,0,0.12,0.431,0.01,0,0
0.49,0.231,0.029,0,0.12,0.431,0.01,0,0.11,0.15,0.081,0,0
0.12,0.431,0.01,0,0.11,0.15,0.081,0,0.16,0.041,0.31,0,0
0.11,0.15,0.081,0,0.16,0.041,0.31,0,1.73,0.001,0.821,0,1
0.16,0.041,0.31,0,1.73,0.001,0.821,0,0.07,0.23,0.25,1,0
